[327, 191];[352, 183];[388, 196];[426, 178];[438, 173];[458, 178];32;32;
[320, 325];[320, 300];[370, 328];[429, 179];[444, 182];[466, 180];32;32;
[346, 190];[358, 199];[375, 184];[427, 180];[440, 178];[460, 178];32;32;
[324, 195];[352, 192];[379, 186];[423, 181];[423, 160];[462, 180];32;32;
[333, 192];[357, 192];[393, 195];[430, 184];[442, 182];[462, 181];32;32;
[324, 192];[358, 192];[390, 195];[430, 185];[441, 184];[462, 182];32;32;
[332, 196];[358, 196];[391, 192];[430, 186];[441, 183];[462, 183];32;32;
[318, 207];[358, 201];[382, 197];[421, 187];[450, 188];[480, 194];32;32;
[330, 210];[350, 215];[379, 207];[429, 204];[447, 193];[469, 201];32;32;
[330, 204];[346, 213];[376, 202];[429, 198];[437, 178];[467, 197];32;32;
[330, 204];[347, 214];[376, 202];[429, 198];[440, 197];[462, 196];32;370;
[330, 209];[352, 208];[385, 204];[427, 201];[445, 188];[470, 202];32;370;
[325, 207];[353, 208];[386, 205];[427, 201];[446, 188];[470, 202];32;370;
[329, 207];[354, 210];[385, 204];[427, 200];[444, 195];[470, 202];32;370;
[329, 207];[351, 211];[380, 203];[427, 200];[427, 185];[455, 199];32;370;
[321, 208];[352, 206];[379, 209];[427, 199];[427, 186];[452, 200];32;370;
[327, 204];[349, 212];[375, 200];[423, 196];[423, 184];[447, 196];32;370;
[327, 207];[349, 215];[375, 202];[425, 200];[441, 196];[466, 202];32;370;
[324, 210];[347, 218];[374, 205];[426, 203];[444, 191];[463, 198];32;370;
[325, 213];[343, 219];[372, 209];[426, 202];[444, 194];[465, 202];32;370;
[319, 207];[353, 211];[382, 208];[426, 202];[445, 192];[467, 204];32;709;
[325, 213];[352, 217];[382, 215];[426, 204];[426, 183];[468, 208];32;709;
[321, 219];[349, 217];[376, 209];[426, 205];[443, 200];[465, 208];32;709;
[324, 216];[353, 219];[382, 217];[425, 207];[425, 187];[464, 209];32;709;
[318, 210];[352, 216];[379, 209];[425, 207];[425, 187];[464, 209];32;709;
[313, 212];[352, 217];[379, 209];[424, 207];[424, 193];[450, 206];32;709;
[319, 207];[355, 217];[383, 214];[425, 207];[425, 193];[450, 206];32;709;
[313, 212];[355, 216];[385, 215];[425, 207];[425, 185];[463, 204];32;709;
[324, 219];[352, 219];[379, 216];[424, 208];[424, 188];[463, 210];32;709;
[319, 209];[348, 217];[374, 210];[423, 208];[423, 188];[463, 210];32;709;
[315, 216];[350, 218];[378, 214];[424, 210];[424, 190];[464, 210];32;1048;
[326, 222];[356, 224];[383, 216];[426, 211];[426, 191];[463, 210];32;1048;
[318, 221];[339, 224];[369, 220];[425, 211];[443, 217];[463, 210];32;1048;
[312, 225];[331, 232];[362, 226];[423, 213];[423, 193];[463, 213];32;1048;
[315, 216];[349, 226];[376, 214];[425, 211];[444, 217];[463, 210];32;1048;
[319, 217];[351, 220];[381, 221];[427, 211];[444, 200];[466, 214];32;1048;
[316, 228];[348, 228];[375, 224];[426, 214];[426, 193];[466, 213];32;1048;
[315, 214];[352, 228];[377, 216];[426, 214];[426, 194];[463, 213];32;1048;
[321, 232];[345, 234];[373, 224];[427, 216];[427, 196];[465, 215];32;1048;
[330, 226];[351, 242];[375, 222];[428, 215];[428, 195];[467, 216];32;1048;
[321, 222];[346, 230];[374, 223];[429, 215];[429, 195];[468, 220];499;1048;
[318, 221];[340, 224];[367, 232];[428, 214];[446, 218];[465, 214];499;1048;
[318, 233];[354, 227];[383, 220];[427, 214];[446, 218];[464, 214];499;1048;
[314, 233];[350, 227];[379, 221];[427, 213];[446, 217];[466, 213];499;1048;
[312, 221];[349, 217];[379, 220];[423, 207];[443, 211];[464, 208];499;1048;
[326, 213];[349, 222];[375, 211];[425, 208];[425, 188];[464, 211];499;1048;
[330, 221];[351, 227];[374, 211];[425, 210];[425, 190];[464, 211];499;1048;
[327, 226];[341, 222];[367, 226];[421, 214];[441, 216];[464, 221];499;1048;
[318, 226];[339, 242];[364, 223];[420, 215];[438, 220];[458, 216];499;1048;
[316, 228];[341, 235];[370, 237];[422, 217];[440, 222];[460, 216];499;1048;
[319, 227];[333, 226];[364, 233];[423, 216];[438, 220];[462, 216];499;709;
[324, 226];[346, 232];[373, 219];[423, 216];[423, 195];[464, 216];499;709;
[319, 223];[345, 229];[375, 232];[423, 214];[423, 194];[462, 218];499;709;
[322, 226];[345, 228];[378, 222];[421, 214];[438, 202];[460, 216];499;709;
[317, 216];[341, 226];[371, 216];[421, 214];[435, 212];[461, 214];499;709;
[316, 220];[340, 224];[376, 220];[421, 215];[437, 244];[444, 211];499;709;
[325, 223];[345, 230];[372, 217];[421, 215];[431, 194];[460, 214];499;709;
[322, 222];[344, 232];[370, 216];[421, 214];[436, 213];[459, 216];499;709;
[319, 222];[338, 222];[376, 222];[417, 210];[426, 208];[443, 210];499;709;
[318, 225];[340, 228];[367, 216];[418, 214];[431, 203];[457, 215];499;709;
[321, 224];[340, 217];[378, 228];[418, 214];[427, 211];[447, 214];499;370;
